ID,ObjektID,BeskedType,RegistreringTid
0,1210812434,VandloebsmidteCreate,2020-06-29T09:39:31.255000+02:00
1,1210812435,VandloebsmidteCreate,2020-06-29T09:39:31.255000+02:00
2,1210812441,VandloebsmidteCreate,2020-06-29T09:39:31.255000+02:00
3,1047074882,VandloebsmidteUpdate,2020-06-29T09:56:17.588000+02:00
4,1037772647,VandloebsmidteUpdate,2020-06-29T09:57:25.745000+02:00
5,1037757472,VandloebsmidteUpdate,2020-06-29T10:05:17.091000+02:00
6,1037757474,VandloebsmidteUpdate,2020-06-29T10:05:22.529000+02:00
7,1037773511,VandloebsmidteUpdate,2020-06-29T10:05:34.685000+02:00
8,1037773693,VandloebsmidteUpdate,2020-06-29T10:06:45.420000+02:00
9,1037773055,VandloebsmidteUpdate,2020-06-29T10:08:34.280000+02:00
10,1037770249,VandloebsmidteUpdate,2020-06-29T10:19:44.814000+02:00
11,1051249490,VandloebsmidteUpdate,2020-06-29T10:30:22.628000+02:00
12,1100284124,VandloebsmidteUpdate,2020-06-29T10:31:34.551000+02:00
13,1100583155,VandloebsmidteUpdate,2020-06-29T10:34:05.755000+02:00
14,1100592813,VandloebsmidteUpdate,2020-06-29T10:36:40.693000+02:00
15,1114877546,VandloebsmidteUpdate,2020-06-29T10:39:20.757000+02:00
16,1044975128,VandloebsmidteUpdate,2020-06-29T10:40:57.882000+02:00
17,1052237756,VandloebsmidteUpdate,2020-06-29T10:52:08.963000+02:00
18,1047076776,VandloebsmidteUpdate,2020-06-29T10:53:53.151000+02:00
19,1061354549,VandloebsmidteUpdate,2020-06-29T10:54:20.526000+02:00
20,1047076709,VandloebsmidteUpdate,2020-06-29T10:58:38.325000+02:00
21,1100584145,VandloebsmidteUpdate,2020-06-29T11:01:51.700000+02:00
22,1047076788,VandloebsmidteUpdate,2020-06-29T11:03:39.919000+02:00
23,1097367457,VandloebsmidteUpdate,2020-06-29T11:04:25.747000+02:00
24,1047077766,VandloebsmidteUpdate,2020-06-29T11:05:45.044000+02:00
25,1059695528,VandloebsmidteUpdate,2020-06-29T11:16:24.548000+02:00
26,1113239096,VandloebsmidteUpdate,2020-06-29T11:18:30.220000+02:00
27,1043875854,VandloebsmidteUpdate,2020-06-29T11:29:19.910000+02:00
28,1106709859,VandloebsmidteUpdate,2020-06-29T11:29:52.379000+02:00
29,1106709865,VandloebsmidteUpdate,2020-06-29T11:30:03.129000+02:00
30,1200208579,VandloebsmidteUpdate,2020-06-29T12:29:39.299000+02:00
31,1210813509,VandloebsmidteCreate,2020-06-29T12:29:39.299000+02:00
32,1210813510,VandloebsmidteCreate,2020-06-29T12:29:39.299000+02:00
33,1210813511,VandloebsmidteCreate,2020-06-29T12:29:39.299000+02:00
34,1210813512,VandloebsmidteCreate,2020-06-29T12:29:39.299000+02:00
35,1210795816,VandloebsmidteUpdate,2020-06-29T12:51:12.337000+02:00
36,1210814205,VandloebsmidteCreate,2020-06-29T13:09:13.747000+02:00
37,1210814214,VandloebsmidteCreate,2020-06-29T13:09:13.747000+02:00
38,1210803347,VandloebsmidteUpdate,2020-06-29T13:17:36.109000+02:00
